Alzheimer,Cancer,Chronic liver-cirrhosis,CLRD,Diabetes,Heart,Hypertension,Homicide,Influenza-pneumonia,Kidney,Parkinson,Pneumonitis,Septicemia,Stroke,Suicide,Unintentional,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,PM10 2nd Max 24-hr,PM10_Mean_24-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,SO2 2nd Max 24-hr,SO2 99th Percentile 1-hr,SO2 Mean 1-hr,Precipitation
0.004106776,-0.3089701,0.150943396,0.419213974,0.302816901,0.094368341,0.333333333,-0.212121212,-0.061349693,0.02919708,-0.42,1,0.023076923,-0.204379562,0.084507042,0.113456464,-0.236786469,-0.255681818,0,0,0.632404214,0.727535848,0.401985112,0.27027027,0.005500431,0.40424312,0,-0.205128205,0.5,1
0.6,-0.120879121,-0.705882353,-0.571428571,0.068965517,-0.0875,0.375,0.72,0.481481481,0.6,0.733333333,0.473684211,1,0.15625,0.512195122,0.530612245,0.311688312,0.325,0,0,-0.5,-0.366666667,-0.117283951,0,-0.202631579,-0.257760532,0,0,0,0.05
0.502183406,1,0.431372549,0.214814815,0.871794872,-0.450564972,0.12601626,0.356321839,-1,-0.063380282,0.386792453,-0.586206897,-0.971698113,0.229965157,0.277310924,0.260526316,0.84,0,0,0,0.538461555,0.513513514,-0.611349036,-0.409259259,-1,-0.448956571,0.432692308,0.276073619,0.32,-0.26
0.254545455,-0.180094787,1,-0.251082251,-0.43956044,-0.038602941,-0.266666667,-1,-0.358024691,0.504424779,0.358974359,-0.238095238,-0.46969697,0.295597484,0.403225806,-0.081081081,0,0.033333333,0.916666667,0.2,-0.247619029,0.080679427,0.08,0.25,0.0128522,0.437628575,-0.142857143,-0.131578947,0,1.26
0.392812887,0.354022989,0.019417476,0.055075594,0.129337539,-0.1461837,0.319266055,-0.648854962,-0.136025505,0.153996101,0.901960784,0.463063063,0.361702128,0.116941529,0.226700252,-0.215189873,-0.699398578,-1,-0.039215686,-0.294871796,0.086419723,-0.197115478,0.521082995,-0.194185218,-0.207908933,-0.649636034,-0.125734024,0.030289696,-0.37398374,-0.53
0.060483871,0.333333333,0.582278481,0.677419355,-0.763157895,-0.123873874,0.731707317,-0.458333333,-0.54,-0.328125,0.338983051,0.34,-0.294117647,0.428571429,-0.54676259,-0.169642857,-0.193638915,-0.118421053,-0.727339181,-1,0.154865412,0.308189642,0.164880359,-0.492857141,-0.187199287,-0.009206589,0.421052632,0.027777778,0,0.02
0.424242424,0.622119816,0.051282051,-1,0.279411765,0.042226488,-0.287356322,0.38961039,-0.820512821,0.208955224,-0.276595745,0.112244898,0.175438596,-0.575129534,0.755102041,0.231578947,-0.015789474,-0.107142857,-0.016393443,-0.085714286,0.473684181,0.418181864,-0.345238095,-1,-0.195555556,-0.103703704,-0.548780488,-0.387096774,-0.277777778,0.07
0.684210526,0.542372881,-0.035714286,0.139784946,-0.238095238,-0.121212121,0.214285714,0.8,0.081081081,-0.461538462,0.181818182,-0.652173913,-0.179487179,-0.123076923,-0.029411765,0.558139535,-0.357142857,-0.2,-0.285714286,-0.5,0.750000019,0.725490176,-0.869565217,-0.653846154,0.342105263,0.08474576,0.125,-0.101123596,-0.5,0.58
0.526315789,-0.511363636,0.184210526,0.333333333,0.355555556,0.133333333,0.47826087,-0.41025641,0.233333333,1,-0.071428571,-0.076923077,0.1,-0.066666667,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.33
0.184961106,0.656441718,0.322493225,0.1843044,0.3203125,0.22574354,-0.264864865,-0.092592593,-0.433908046,0.815181518,0.729885057,0.80952381,-0.060344828,0.022248948,-0.302631579,0.112565445,-0.101587301,-0.272727273,0.52631579,0.145833334,0.50615442,0.54922208,0.566025684,-0.019482927,-0.138020079,0.086702091,0.219672714,0.287439613,-0.25925926,0.21
