Alzheimer,Cancer,Chronic liver-cirrhosis,CLRD,Diabetes,Heart,Hypertension,Homicide,Influenza-pneumonia,Kidney,Parkinson,Pneumonitis,Septicemia,Stroke,Suicide,Unintentional,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,PM10 2nd Max 24-hr,PM10_Mean_24-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,SO2 2nd Max 24-hr,SO2 99th Percentile 1-hr,SO2 Mean 1-hr,Precipitation
1,-0.139534884,1,0.030567686,-0.478873239,-0.01674277,-0.41025641,-0.434343434,-0.024539877,-0.335766423,0.5,0.836734694,0.476923077,0.215328467,-0.084507042,0.353562005,0.346723044,0.039772727,0.108695652,0.166666667,0.053658565,0.013717917,0.32382134,-0.054054054,0.11147541,0.141284404,0.471698113,0.576923077,0.75,0.33
-0.133333333,-0.483516484,0.058823529,-0.142857143,0.034482759,0.95,-0.125,-0.24,0.074074074,-0.266666667,-0.866666667,0.315789474,0.545454545,-1,-0.097560976,0.530612245,-0.103896104,-0.375,1,1,0.3333333,-0.0222222,0.396296297,0.623076923,0.313684211,0.425720621,0.068965517,0.068181818,0,0.15
0.222707424,0.265356265,0.147058824,0.125925926,0.427350427,0.070621469,0.43902439,-0.770114943,0.010344828,-0.345070423,0.358490566,-0.448275862,0.009433962,0.254355401,0.680672269,-0.071052632,0.14,0.041666667,-0.176252319,-0.708333334,-0.215384622,0.094594595,0.281341249,0.225420875,-0.048309178,-0.397067118,-0.649038462,-0.490797546,-0.2,0.04
1,-0.672985782,0.492063492,0.008658009,-0.076923077,0.375,-0.116666667,0.161290323,-0.518518519,-0.796460177,0.41025641,0.222222222,0.318181818,-0.339622642,-0.016129032,0.574324324,0,0.033333333,0.041666667,-0.1,-0.285714286,-0.191082803,-0.64,0,0.009996155,-0.132369137,0.238095238,0.197368421,-0.5,0.24
0.311028501,0.5348659,0.458737864,-0.88336933,0.302839117,-0.545924968,-0.269724771,-0.29389313,-0.154357067,0.543859649,0.384313725,-0.230630631,-0.028368794,0.024737631,0.476070529,0.134683544,-1,-0.657051282,0.002599525,-0.122377621,0.098765424,0.343749996,0.049611218,1,-0.05277023,-0.343071062,-0.928497409,-0.689988998,-0.260162601,-0.45
0.193548387,0.188235294,0.392405063,0.827956989,0.618421053,1,-0.682926829,-0.145833333,0.475,-0.03125,1,0.12,0.985294118,0.72,0.54676259,0.424107143,-0.235734331,-0.019736842,-0.124269006,-0.071428572,-0.440993776,-0.606732379,-0.639135226,-0.067669174,-0.560617762,-0.22607294,-0.157894737,-0.5,-0.25,-0.01
1,0.00921659,1,0.125786164,0.154411765,-0.138195777,-0.206896552,0,0.256410256,0.597014925,0.319148936,0.081632653,0.026315789,-0.424870466,1,0.310526316,-0.173684211,-0.214285714,0.081967213,-0.257142857,-0.552631582,-0.397727291,-0.023809524,-0.06122449,0.124444444,1,-0.091463415,-0.048387097,0.138888889,-0.06
-0.052631579,0.378531073,1,-0.258064516,0.19047619,0.363636364,-0.75,0.25,0.081081081,-0.128205128,0.045454545,0.391304348,-0.538461538,0.461538462,0.117647059,0.302325581,-0.357142857,-0.2,0.107142857,0.25,0.124999991,0.078431353,0,0,-0.105263158,0.06779661,0.0125,-0.005617978,0,0.22
-0.289473684,0.119318182,-0.026315789,-0.424242424,0.244444444,-0.118518519,0.347826087,0.179487179,-0.3,-0.185185185,-0.142857143,0.384615385,0.166666667,0.6,0.777777778,0.014925373,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89
0.675021608,0.585276074,1,-0.239001189,0.346354167,0.90443686,0.318918919,0.041666667,0.163793103,-0.178217822,0.614942529,-0.063492063,0.290229885,0.64461816,0.469298246,0.607329843,0.888888889,0.666666665,0.645933014,1,0.006835262,0.02211697,0.014252445,-0.15911056,0.095160219,0.073025398,0.22411953,0.437012263,0.358974358,-0.09
0.595785441,0.511494253,0.359223301,0.559440559,0.074879227,0.768275862,-0.075268817,0.202380952,0.057761733,0.454545455,0.904255319,0.2,-0.485915493,0.656330749,0.54248366,0.619422572,0.126984127,0.144578313,1,1,0.180952386,0.180952358,0.541666667,0,0.042553191,0.203478261,-0.043478261,-0.276595745,0,0.45
0.6875,0.856382979,0.068965517,1,0.094339623,0.034653465,-0.485714286,-0.166666667,-0.159663866,0.268292683,1,0,-0.622222222,0.2625,0.785714286,0.105882353,-0.045454545,0.285714286,0.375,0,1,0.3,-0.072874494,0,0.173076923,-0.202005731,-0.009471192,-0.008391801,-0.068027211,-0.49
0.164772727,0.480874317,-0.3125,0.075862069,0.111111111,1,0.227272727,0.217391304,-0.513043478,-0.282051282,0.722222222,0.27027027,-0.304347826,0.494117647,0.230769231,-0.139240506,0.229508197,0.525,0.242424242,-0.476190476,-1,-0.482758621,-0.860696517,-1,-0.524489796,-0.664935065,-0.004901961,-0.032225579,-0.037037037,-0.33
0.757641921,0.017035775,0.4,0.115116279,-0.359832636,0.119896306,-0.029126214,0,0.15658363,0.32300885,0.631578947,0.802083333,0.722972973,0.367924528,0.566176471,0.413043478,0.163934426,0.3,0.057692308,0,-0.081987588,0.049833896,1,0.928571429,0.962352941,0.982318153,0.123261694,-0.049069374,0.25,0.05
0.323624595,0.68503937,0.367088608,-0.3640553,-0.561085973,-0.010830325,0.155172414,-0.514285714,-0.301310044,0.268456376,0.51,-0.173333333,-0.049586777,0.3,0.050632911,0.267605634,0.594273366,0.186125211,0.195633188,0.363636364,-0.149607574,-0.114776475,-0.372376439,0.315706393,0.368721461,0.130797102,0.020833333,0.104895105,-0.052631579,0.06
0.417808219,-0.028571429,0.152777778,0.122340426,1,-0.702402957,0.267857143,0.473684211,-1,-0.602150538,-1,-1,-0.096774194,0.130434783,-0.625,0.989583333,-0.304455446,-0.403846154,-0.009868421,0.05625,0,0.078124974,-0.208144796,-0.110325319,0.121135647,-0.103703704,0.318181818,0.216981132,0.363636364,-0.16
0.301886792,0.924444444,1,0,-0.123595506,0.259593679,-0.322033898,-0.464285714,-0.428571429,-0.284090909,0.4,0.264705882,-0.138461538,0.272151899,0.277777778,0.176470588,-0.163636364,-0.19047619,-0.086567164,-0.247826087,-0.022058841,-0.02046786,-0.079432624,0.054263565,0.46,0.234234234,0.551724138,0.054794521,0.1,0.14
0.354651163,0.514450867,0.621621622,0.086261981,-0.042402827,0.049180328,0.402298851,0.020833333,0.482758621,-0.171641791,0,-0.275,1,0.350877193,0.482142857,0.316715543,0.028037383,-0.1,0.05952381,-0.235042735,0.051724134,0.142212225,-0.045605643,-0.002790178,0.208912037,0.113625703,0.433884298,0.386503068,0.079051383,0.33
0.474137931,0.078091106,0.173913043,-0.127147766,-0.572327044,0.306517312,-1,-0.120689655,-0.233128834,0.96460177,1,0.826923077,1,0.481751825,1,0.014248705,0.591549296,-0.555555556,0.115012107,0.708333339,0,0.280921123,0.064122137,-0.086330935,-0.328266495,0.034360658,-0.544444444,-0.370326409,-0.104347826,0.21
0.3,-0.095238095,0.294117647,-0.046511628,0.976190476,-0.13304721,-0.166666667,-0.7,0,-0.878787879,-0.787878788,0.045454545,0.257142857,0.074074074,-0.510204082,0.410714286,-0.37037037,-0.25,0,-0.039215686,-0.345710615,-0.299334831,-0.129411764,-0.118110236,-0.176470588,-0.098173516,-0.15,0.231081081,-0.1,-0.14
0.093167702,0.543478261,0.568627451,-1,0.370860927,-0.133251834,0.215384615,-0.162679426,-0.435233161,0.120689655,0.176470588,-0.174603175,0.305882353,0.636363636,0.660714286,-0.253275109,-0.042352941,-0.058064516,-0.192592592,-0.042105262,-0.076923117,-0.096137355,0.10738255,0.047619047,-0.222537879,0.071595072,0.306818182,0.068181818,0,0.05
-0.043824701,-0.175742574,0.732673267,0.074626866,0.306122449,-0.254320988,-0.041666667,-0.088709677,-0.570977918,-0.20625,0.31884058,0.583941606,-0.28,0.38267148,0.352941176,0.490196078,0.085714286,-0.136363636,0.048387097,0,-0.421194183,-0.393175797,0.465116279,-0.625,-0.081790124,-0.217687075,-0.285714286,-0.251806303,-0.375,-0.14
0.305687204,1,0.303370787,-0.345811052,0.060702875,0.430522088,-0.912698413,-0.464646465,-0.063444109,1,-0.663636364,-0.206896552,0.030487805,0.648255814,0.627659574,0.469047619,-1,-0.086956522,0.070588235,-0.071428571,-0.204651158,0.009832402,0.439252337,-0.095238096,0.555523103,0.325491299,0.13,0.157575758,0.3,0.06
1,0.148606811,-0.296296296,-0.029585799,0.197368421,-0.084876543,-0.843137255,-0.652173913,-0.487068966,0.114427861,0.016666667,-0.328125,0.38961039,0.728813559,0.103896104,-0.092592593,-0.742805755,-0.636363636,0.768361582,0.714285714,0.094117621,-0.154155636,0.142021721,0.067264574,-0.008343091,-0.205275974,-0.268292683,-0.199494949,0.06,0
0.569078947,0.02991453,0.416666667,-0.091397849,-0.394366197,-0.327777778,-0.4,0.640625,-0.029411765,-0.3125,-0.12244898,-0.916666667,-0.292035398,0.442105263,-0.112676056,0.08583691,0.078947368,0,-0.235294118,0,0,0.360000014,0.25,-0.095238095,0,0,-0.06,-0.204545455,0,0.18
0.082066869,0.251121076,0.308641975,-0.052631579,-0.263414634,0.267032967,0.27,0.462264151,-0.128099174,1,0.552238806,-0.058333333,-0.100529101,0.31147541,0.703703704,0.648241206,0.012269939,0.019047619,-0.595486112,-0.842592593,-0.081541237,-0.044512158,0.565239814,0.076190476,0.317340067,0.094408134,-0.508296576,-0.704047332,-1,0.24
-0.28,0.696969697,0,0.225806452,0,-0.319727891,-0.192307692,-0.1875,-0.340659341,-0.12195122,-0.59375,-0.2,-0.323529412,0,0.258064516,-0.591549296,-0.594059406,0.06122449,0.025641026,0.095238095,0.25,-0.125,-0.117088064,-0.075,0.022886204,-0.070098576,0.047619048,0.121483376,0.104166667,-0.06
-0.428571429,0,-0.347826087,0.679104478,0.025,-0.283333333,0.723404255,-0.4,0.058394161,0.565789474,0.033333333,-0.071428571,0.103448276,-0.189655172,0.794871795,0.604651163,-0.056074766,-0.093023256,0,0,0.166666675,-0.043010839,0.158878505,-0.379310345,0.483870967,-0.740740741,-0.1,-0.035087719,0,-0.06
0.589552239,0.956521739,-0.120481928,0.193236715,-1,0.774881517,-0.722222222,0.609756098,1,-0.074626866,-0.203703704,-0.970588235,-0.471264368,0.330769231,0.561403509,-0.103448276,0.027777778,-0.051282051,-0.184210526,-0.222222222,-0.125000028,-0.222222267,0.307795699,-0.241258741,-1,-1,-0.125,0,-0.25,-0.09
0.97826087,0.530232558,0.673469388,0.155844156,-0.227272727,0.212765957,0.210526316,-0.178571429,-0.395061728,-0.195121951,0.84,0.074074074,1,0.362637363,1,0.97979798,-0.070987654,-0.177777778,0.25,0.083333333,0.150375947,-0.050939573,0.037037037,-0.142857143,-0.281124498,-0.082491582,-0.030927835,0.015182186,-0.375,-0.15
