Alzheimer,Cancer,Chronic liver-cirrhosis,CLRD,Diabetes,Heart,Hypertension,Homicide,Influenza-pneumonia,Kidney,Parkinson,Pneumonitis,Septicemia,Stroke,Suicide,Unintentional,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,PM10 2nd Max 24-hr,PM10_Mean_24-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,SO2 2nd Max 24-hr,SO2 99th Percentile 1-hr,SO2 Mean 1-hr,Precipitation
-0.075975359,0.122923588,0.443396226,0.200873362,-0.169014085,-0.214611872,-0.128205128,0.01010101,0.055214724,-1,0.64,0.306122449,0.330769231,-0.186131387,-0.352112676,0.707124011,-0.021141649,0.1875,0,0,0.03449474,-0.194009546,-0.011166253,-0.081081081,0.121009491,-0.220183486,0.283018868,0.230769231,0,-0.13
-0.433333333,0.56043956,0.852941176,0.514285714,0.724137931,0.4,0.25,-0.32,-0.222222222,-0.2,-0.533333333,-1,-0.272727273,0.03125,-0.512195122,0.387755102,-0.350649351,-0.675,0,0,-0.5,-0.166666667,0.640432099,0.125,-0.194210526,-0.246119734,1,1,1,-0.18
0.045851528,0.029484029,0.87254902,0.592592593,1,1,1,-0.183908046,-0.268965517,-1,0.58490566,-0.137931034,-1,0.034843206,0.56302521,0.205263158,-1,0,-0.011131725,0,0.323076933,0.459459459,1,0.349074074,0.108695652,-0.022109419,-0.673076924,-0.803680981,-0.8,0.16
0.170909091,0.104265403,-0.126984127,0.917748918,0.637362637,-0.194852941,0.55,0.64516129,0.49382716,0.442477876,-0.435897436,0.571428571,0.333333333,-0.308176101,0.241935484,0.331081081,-0.125,-0.066666667,-0.375,0,0.0680272,-0.051562038,0.36,0,0.134948097,0.046194129,0.095238095,0.026315789,0,-0.64
0.288723668,-0.003065134,0.682038835,0.399568035,1,0.292626132,0.853211009,-0.145038168,0.084484591,-1,0.364705882,0.198198198,0.361702128,-0.119190405,0.20906801,0.196962025,0.223688878,0.76,0.078863898,0.033182504,-0.395061696,-0.093749967,-0.162283214,0.105419174,0.416221249,0.583942055,0.116062176,0.246424642,0.130081301,0.47
-0.108870968,0.062745098,0.911392405,-0.258064516,0.907894737,0.313063063,-0.585365854,0.395833333,0.34,0.375,0.86440678,0.28,1,-0.005714286,0.345323741,1,-0.303086997,-0.473684211,-0.304824561,-0.557142857,0.032091113,0.189655164,-0.855807577,-0.214285714,-0.191119691,-0.345758614,-0.526315789,-0.712962963,-0.5,0.02
-0.070707071,-0.539170507,0.230769231,0.79245283,0.220588235,0.151631478,-0.057471264,-0.116883117,0.820512821,0.044776119,1,0.285714286,-0.263157895,-0.176165803,0.346938776,0.010526316,0.063157895,0.080357143,0.360655738,-0.085714286,0.177631596,-0.007954546,-0.023809524,0.734693878,0.053333333,0.02962963,0.182926829,-0.024193548,0.138888889,-0.57
-0.157894737,-0.016949153,-0.035714286,0.204301075,0.666666667,0.2,-0.357142857,-0.6,-0.067567568,-0.230769231,1,0.47826087,0.076923077,0.169230769,-0.029411765,-0.441860465,0.071428571,-0.2,-0.357142857,-0.5,-0.125000028,-0.176470588,0,0,-0.184210526,-0.288135592,-0.15,-0.146067416,-0.5,-0.15
0.157894737,0.164772727,-0.289473684,0.121212121,0.155555556,-1,1,-0.256410256,0.533333333,-0.888888889,-0.071428571,0.230769231,0.033333333,0.288888889,-0.222222222,-0.402985075,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11
-0.280034572,0.262576687,0.298102981,-0.068965517,0.1796875,-0.398829839,0.043243243,0.134259259,0.557471264,-0.940594059,0.011494253,0.158730159,0.281609195,-0.012627781,0.399122807,0.022687609,0.46984127,-0.242424244,-1,-0.583333334,0.171992508,-0.026965876,-0.402122563,-0.146121945,0.138020079,-1,-0.57808609,-0.867954912,-0.129629629,0.05
0.132183908,0.319923372,0.233009709,0.073426573,0.301932367,-0.295172414,-0.258064516,-0.261904762,0.003610108,-0.919191919,0.457446809,-0.6,0.091549296,-0.511627907,0.156862745,0.104986877,-0.095238095,-0.096385542,-0.282828282,-0.08,0.057301592,0.194021148,-0.109848485,-0.183098592,0.271276596,-0.23826087,-0.409937888,0.145896656,0,0.11
0.083333333,0.063829787,1,0.647058824,-0.150943396,0.361386139,-0.028571429,-0.333333333,0.302521008,-0.170731707,0.171428571,0.347826087,-0.266666667,0.2,-0.619047619,1,-0.5,0.071428571,0.625,0,0.333333333,0.4,-0.582995951,0,-0.302884615,-0.520057306,-1,-1,-0.979591837,-1.29
-0.005681818,0.234972678,0.71875,0.668965517,0.888888889,0.149171271,0.136363636,0.260869565,0.07826087,-0.820512821,0.944444444,-0.27027027,1,-0.223529412,-0.173076923,0.708860759,0.196721311,-0.525,0.333333333,0.476190476,0.5,0.034482759,0.483416252,0.280701755,0.205539359,-0.429499073,0.00245098,0.008056395,0.148148148,0.05
-0.037117904,-0.107325383,0.154545455,0.184883721,0.778242678,0.018146468,1,0.295918367,0.754448399,-1,1,0.520833333,-0.047297297,0.043396226,0.352941176,0.52484472,0.049180328,-0.06,-0.288461538,-0.555555556,0.516770191,0.178042854,0.678571429,0.767857143,-0.036,-1,-0.226353293,-0.210429165,-0.098484849,-0.2
0.381877023,0.041994751,0.582278481,0.414746544,1,-0.019253911,0.801724138,-0.014285714,-0.628820961,-1,0.11,0.093333333,0.355371901,0.121621622,0.215189873,0.580985915,0.267423015,0.355329949,-0.192576419,-1,0.32773285,0.285970246,0.18957346,-0.45382794,-0.224782067,-0.341829085,-0.003703703,-0.692463093,-0.160401002,-0.67
-0.034246575,0.702857143,-0.458333333,0.718085106,0.136029412,-0.266173752,0.107142857,-0.026315789,0.558659218,-0.075268817,0.224137931,0.106666667,-0.193548387,-0.570652174,0.78125,1,0.014851485,-0.346153846,-0.157894737,-0.100000001,0,-0.015625032,-0.774799861,-0.274398867,-1,-0.321983276,0.207792208,0.402515723,0.207792208,0.46
-0.188679245,0.28,0.421052632,0.266932271,0.629213483,-0.239277652,0.101694915,0.642857143,0.532967033,-0.034090909,0.825,0.617647059,0.6,-0.202531646,-0.064814815,0.156862745,-0.363636364,0.142857143,0.447761194,0.326086957,0.514705868,0.323586737,0.392198582,0.081395349,0.2,0.18018018,-0.248275862,-0.02739726,-0.1,0.14
-0.029069767,-0.569364162,0.108108108,0.769968051,0.197879859,0.284543326,-0.091954023,-0.229166667,0.088669951,-0.805970149,0.448275862,0.025,-0.217391304,0.421052632,0.785714286,-0.070381232,-0.037383178,-0.1,-1,-0.705128204,0.061007944,-0.011026178,0.22346765,-0.1953125,0.168739409,-0.084648493,0.123966941,-0.26993865,-0.395256917,-0.78
