Alzheimer,Cancer,Chronic liver-cirrhosis,CLRD,Diabetes,Heart,Hypertension,Homicide,Influenza-pneumonia,Kidney,Parkinson,Pneumonitis,Septicemia,Stroke,Suicide,Unintentional,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,PM10 2nd Max 24-hr,PM10_Mean_24-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,SO2 2nd Max 24-hr,SO2 99th Percentile 1-hr,SO2 Mean 1-hr,Precipitation
-0.197125257,0.142857143,0.669811321,0.449781659,0.154929577,0.143074581,-0.141025641,0.131313131,-0.055214724,-0.087591241,0.22,0,-0.130769231,0.218978102,0.985915493,-1,-0.038054968,-0.215909091,0,0,-0.03449474,0.105823361,-0.759305211,-0.567567568,-0.444434858,-0.416857798,-0.188679245,0.333333333,0,-0.1
1,-0.10989011,-0.294117647,-0.142857143,0,-0.3875,-0.125,0.08,-0.222222222,-0.6,0.4,1,1,0.625,0.609756098,-0.346938776,0.298701299,0.4,0,0,0.25,0.15,-0.030555556,0.305769231,0.275789474,0.10864745,0.103448276,0.113636364,0,0.05
-0.410480349,0.970515971,0.490196078,0.135802469,-0.011396011,0.038135593,0.150406504,-0.091954023,-0.024137931,0.133802817,0.386792453,-0.379310345,-0.141509434,0.055749129,-0.033613445,-0.176315789,0.08,-0.333333333,0,0.125,-0.215384622,0.135135135,-0.647751606,-0.08425926,-0.057971014,0.154314721,0.625,1,0.64,0
-0.258181818,0.203791469,0.095238095,-0.324675325,-0.824175824,0.439338235,0.2,0.967741935,0.043209877,-1,1,-0.333333333,0.03030303,-0.176100629,0.370967742,0.074324324,0.125,0,0.166666667,0,0.217687086,0.306339108,-0.44,-0.375,-0.18207283,-0.514618788,0.333333333,0,0,0.6
0.038826931,0.940229885,0.269417476,-0.425485961,0.315457413,-0.103751617,0.563302752,0.358778626,-0.09325186,0.251461988,0.282352941,0.084684685,0.191489362,0.029235382,-0.259445844,0.041518987,-0.279981934,-0.425,0.130434973,0.143973676,0.049382742,0.096153794,-0.081824509,0.107351633,-0.401925466,-0.321097429,-0.038687392,0.032856619,-0.520325204,-0.18
0.060483871,1,-0.126582278,0.47311828,0.092105263,0.301801802,0.707317073,0.291666667,-0.465,-0.34375,0.525423729,-0.52,-0.514705882,-0.171428571,1,0.325892857,-0.277829747,-0.355263158,-0.144736842,-0.121428571,0.152173904,0.064655152,0.683075773,0.428571427,0.96833977,0.412250655,0.140350877,0.074074074,0,0.2
0.292929293,-0.718894009,0.564102564,-0.176100629,-0.448529412,0.145873321,-0.333333333,0.220779221,-0.884615385,-0.492537313,-0.808510638,0.255102041,-0.184210526,-0.21761658,-0.040816327,0.278947368,0.228947368,-0.160714286,-1,-0.599999999,0,0.238636374,-0.178571429,-0.612244898,-0.373333333,-0.296296296,-0.518292683,-0.75,-0.416666667,0.91
0.131578947,0.163841808,-0.571428571,-0.430107527,0.404761905,-0.115151515,-0.321428571,0.65,-0.162162162,-0.256410256,-0.363636364,-0.347826087,0.179487179,-0.215384615,0.588235294,0.837209302,0.285714286,0.4,-0.928571429,-1,-0.124999991,0.431372588,0,0,-0.210526316,-0.38983051,-0.225,0.011235955,-0.75,0.2
0.236842105,0.0625,0.289473684,-0.363636364,-0.155555556,0.940740741,-0.52173913,-0.692307692,-0.666666667,-0.592592593,-0.285714286,-0.153846154,-0.733333333,-0.044444444,0,0.134328358,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.37
-0.07346586,0.62208589,-0.005420054,0.363852556,-0.002604167,0.588005851,0.718918919,0.263888889,-0.33045977,-0.330033003,0.459770115,0.738095238,0.264367816,0.027059531,0.535087719,-0.114310646,-0.177777778,0.242424244,0.707450444,0.107142857,-0.541353417,-0.23948498,0.442843835,0.194829262,-0.064573006,0.921945654,0.66826752,-0.123993559,-0.622222222,-0.31
-0.137931034,0.802681992,1,0.48951049,-0.079710145,0.071724138,0.634408602,0.464285714,-0.241877256,0.207070707,0.234042553,0.553846154,0.373239437,0.186046512,0.071895425,-0.141732283,0.015873016,-0.048192771,-0.282828282,-0.08,-0.33174601,-0.152804239,-0.424242425,-0.349551857,-0.712765957,-0.495652174,0.633540373,-0.373860183,-0.342857142,-0.07
0.541666667,0.031914894,0.206896552,-0.176470588,0.245283019,0.584158416,-0.571428571,0.222222222,0.579831933,-0.048780488,0.514285714,-0.391304348,-0.244444444,0.1625,0.214285714,-0.694117647,0.272727273,0.214285714,-0.25,0,-0.333333333,-0.4,-0.24291498,0,0.057692308,0.197707736,0.230465667,0.162333196,0.231292517,0.25
-0.3125,-0.005464481,0.71875,-0.482758621,-0.488888889,-0.038674033,-0.409090909,0.217391304,-0.243478261,-0.153846154,0.833333333,-0.027027027,-0.217391304,-0.152941176,0.307692308,-0.139240506,-1,0,0.666666667,-0.095238095,0.25,1,1,0.684210526,1,1,-0.012254902,-0.044310171,-0.037037037,-0.04
-0.098253275,0.94548552,0.445454545,-0.089534884,0.054393305,-0.207388205,-0.194174757,0.204081633,-0.359430605,0.026548673,-0.192982456,0.09375,-1,-0.066037736,0.485294118,1,-0.158469945,-0.36,0.326923077,0.222222222,0.218633547,0.584717638,0.214285714,0.357142857,-1,-0.052969915,-0.077692219,0.164743885,-0.318181818,0.6
-0.064724919,0.49343832,0.810126582,-0.156682028,0.235294118,0.364620939,0.448275862,0.442857143,-0.253275109,-0.979865772,0.56,0.26,0.272727273,-0.145945946,0.746835443,0.271126761,-0.364667747,-0.532994924,-0.073362445,-0.090909091,0.317361551,0.317629389,0.677048071,0,-0.311164482,-0.306622663,-0.587301588,-0.167832168,-0.30075188,0.8
-0.479452055,-0.245714286,0.652777778,-0.04787234,-0.286764706,0.497227357,-0.607142857,0.236842105,0.022346369,0.064516129,-0.379310345,0.213333333,1,-0.054347826,-0.609375,0,0.044554455,0.51923077,-0.414473684,-0.11875,0.571428584,0.593750006,0.159415246,0.347949081,-0.221451104,-0.266786142,-0.214285714,-0.015274034,-0.350649351,0.23
-0.037735849,-0.048888889,-0.263157895,0.15936255,-0.808988764,0.088036117,-0.06779661,-0.714285714,-0.126373626,0.295454545,-0.05,-0.382352941,-0.076923077,0.03164557,1,-0.137254902,0.690909091,0.547619048,0.402985075,-0.195652174,0.176470622,0.382066316,0.044680851,-0.135658916,-0.68,-0.576576576,-0.048275862,-0.090753425,-0.35,0.18
0.273255814,0.806358382,1,0.255591054,-0.042402827,0.139344262,0.620689655,1,-0.403940887,-0.28358209,-0.068965517,-0.75,-0.208695652,0.052631579,0.875,0.390029326,0.028037383,-0.066666667,-0.095238095,-0.141025641,0.379310346,0.422121885,-0.218907086,0.133928572,-0.427741466,-0.233175147,-0.475206611,-0.466257669,-0.23715415,0.79
-0.020114943,0.162689805,0.695652174,0.58419244,0.157232704,0.298370672,0.728813559,0.00862069,-0.263803681,-0.274336283,0.074074074,0.769230769,0.451612903,-0.116788321,-0.0625,0.351036269,0.105633803,0.333333333,-0.3874092,-0.333333335,-0.462668299,-0.469736855,0.27480916,-0.207194245,0.667852523,-0.065104404,-0.375,-0.413946588,-0.652173913,-0.75
-0.445454545,0.132275132,-0.235294118,-0.19379845,0.642857143,-0.107296137,1,0.1,-1,0,0.424242424,0.772727273,-0.057142857,-0.101851852,-0.530612245,0.25,0.074074073,0.083333334,-0.12244898,-0.019607843,-0.115236886,0.028508102,1,0.275590552,0,0,0.090909091,0.25,0.416666667,0.1
-0.099378882,1,-0.215686275,-0.485915493,-0.523178808,0.569682152,-0.2,-0.04784689,-0.259067358,-0.077586207,-0.161764706,-0.19047619,0.676470588,-0.107438017,0.446428571,0.554585153,-0.04,-0.058064516,-0.611111111,-1,-0.076923059,-0.065236016,0.067114094,0.095238096,-0.438636364,-0.450749253,-0.443181818,-0.149621212,-0.3125,0.4
-0.422310757,-0.076732673,0.356435644,-0.48880597,-0.209183673,-0.201234568,0.458333333,-0.540322581,-0.195583596,0.23125,-0.463768116,-0.233576642,0.14,-0.342960289,0.279411765,-0.051693405,-0.282857143,-0.227272727,-1,-0.618101543,0.125874138,0.230407492,-0.260465116,0.1,-0.206597222,-0.244047619,-0.771428571,-0.213066872,-0.375,0.72
0.44549763,0.094763092,-0.292134831,0.10516934,-0.402555911,0.130120482,0.015873016,0.808080808,-0.558912387,-0.29015544,-0.281818182,-0.620689655,0.585365854,-0.081395349,0.425531915,-0.347619048,0.35483871,0.347826087,-0.105882353,-0.071428571,0.3888372,0.545698333,0.897196263,0.880952381,0.142999008,0.112580918,-0.53,-0.363636364,0,0.22
-0.029850746,-0.20123839,0.981481481,-0.136094675,-0.157894737,0.395061728,0.235294118,0.043478261,-0.025862069,-0.134328358,0.65,-0.84375,-0.103896104,-0.412429379,-0.350649351,-0.083333333,-0.100719424,-0.167832168,-0.463276836,-0.412698413,-0.050420187,0.357861326,-1,-1,-0.01592772,-0.052066116,-0.073170732,-0.141414141,-0.66,-0.07
-0.171052632,0.944444444,-0.75,0.188172043,0.38028169,-0.122222222,0.276923077,-0.296875,-0.18627451,0.291666667,0.183673469,0.638888889,0.203539823,-0.126315789,0.295774648,-0.416309013,-0.157894737,-0.153846154,-0.176470588,-0.428571429,0.017054247,0.147999966,-0.333333333,-0.047619048,0.214285714,0.050892857,-0.12,0.017045455,0,-0.24
-0.194528875,1,0.716049383,0.230994152,-0.297560976,-0.074725275,0.21,0.047169811,0.033057851,0.095238095,0.373134328,-0.05,-0.084656085,-0.144262295,-0.234567901,-0.83919598,0,-0.114285714,-0.182291667,0,0.135902045,0.414305582,-0.140278494,0,-0.284511785,-0.094408132,-0.177903802,-0.027107705,-0.15,0.55
0.14,-0.686868687,0.689655172,-0.344086022,-0.267605634,-0.12244898,0.384615385,-0.1875,-0.010989011,-0.097560976,0.78125,0.08,-0.205882353,-0.489130435,0.032258065,-0.521126761,0,-0.514285714,-0.294871795,-0.428571429,0.25,-0.0083333,0.236381176,-0.555555555,0.400508583,0.30668127,-0.047619048,-0.022378517,-0.104166667,0.23
